,Date/Time,LV ActivePower (kW),Wind Speed (m/s),Theoretical_Power_Curve (KWh),time_idx,month
44492,2018-11-19 22:50:00,639.5875244140619,6.10377311706542,659.557457006613,44492,11
44493,2018-11-19 23:00:00,1267.06799316406,7.73245286941528,1380.70964827581,44493,11
44494,2018-11-19 23:10:00,1304.61901855468,7.81219387054443,1424.35237354258,44494,11
44495,2018-11-19 23:20:00,1206.35705566406,7.37486791610717,1194.08998304091,44495,11
44496,2018-11-19 23:30:00,1042.93005371093,7.319531917572019,1166.57396841655,44496,11
44497,2018-11-19 23:40:00,960.67626953125,6.90814876556396,975.170954534804,44497,11
44498,2018-11-19 23:50:00,560.3572998046869,5.940727233886711,605.174823516783,44498,11
44499,2018-11-20 00:00:00,485.892913818359,5.827532768249509,568.342840985999,44499,11
44500,2018-11-20 00:10:00,515.49658203125,5.73038578033447,537.781325231142,44500,11
44501,2018-11-20 00:20:00,653.0789794921869,6.20726680755615,696.171969206146,44501,11
44502,2018-11-20 00:30:00,544.417907714843,6.100800037384031,658.522547971025,44502,11
44503,2018-11-20 00:40:00,610.299987792968,6.33921289443969,744.519450543303,44503,11
44504,2018-11-20 00:50:00,809.116882324218,6.66138696670532,870.580256307643,44504,11
44505,2018-11-20 01:00:00,502.790710449218,5.76728820800781,549.278423577753,44505,11
44506,2018-11-20 01:10:00,339.361511230468,5.398966789245598,440.399964793671,44506,11
44507,2018-11-20 01:20:00,299.603912353515,5.1244478225708,367.171106373537,44507,11
44508,2018-11-20 01:30:00,356.417785644531,5.22179698944091,392.415359601862,44508,11
44509,2018-11-20 01:40:00,422.846588134765,5.429212093353269,448.865115419199,44509,11
44510,2018-11-20 01:50:00,107.638397216796,3.8532440662384,101.545845045312,44510,11
44511,2018-11-20 02:00:00,400.037811279296,5.45460319519042,456.035004526119,44511,11
44512,2018-11-20 02:10:00,684.807189941406,6.48108911514282,798.613510376586,44512,11
44513,2018-11-20 02:20:00,578.659912109375,6.065993785858152,646.476969638862,44513,11
44514,2018-11-20 02:30:00,468.815490722656,5.653747081756589,514.33475262464,44514,11
44515,2018-11-20 02:40:00,320.015991210937,5.23658323287963,396.317839578701,44515,11
44516,2018-11-20 02:50:00,269.377685546875,4.9363842010498,320.523725193491,44516,11
44517,2018-11-20 03:00:00,365.947692871093,5.19942188262939,386.544492742033,44517,11
44518,2018-11-20 03:10:00,39.8988189697265,3.258464097976681,29.615146330686002,44518,11
44519,2018-11-20 03:20:00,171.14309692382798,4.215446949005121,164.075694350979,44519,11
44520,2018-11-20 03:30:00,379.456787109375,5.472752094268791,461.195600519908,44520,11
44521,2018-11-20 03:40:00,389.60791015625,5.492819786071769,466.93675329493203,44521,11
44522,2018-11-20 03:50:00,314.792114257812,5.11253595352172,364.134804082803,44522,11
44523,2018-11-20 04:00:00,350.289794921875,5.2176218032836905,391.3167116253009,44523,11
44524,2018-11-20 04:10:00,393.11648559570295,5.4178729057312,445.68189663577004,44524,11
44525,2018-11-20 04:20:00,449.902313232421,5.73808813095092,540.16979455185,44525,11
44526,2018-11-20 04:30:00,369.138397216796,5.45621109008789,456.49099864953695,44526,11
44527,2018-11-20 04:40:00,532.58447265625,5.93152523040771,602.130469286028,44527,11
44528,2018-11-20 04:50:00,237.72509765625,4.80029010772705,288.410651913942,44528,11
44529,2018-11-20 05:00:00,405.63980102539,5.68602418899536,524.139275009934,44529,11
44530,2018-11-20 05:10:00,397.387908935546,5.55947303771972,486.272208075389,44530,11
44531,2018-11-20 05:20:00,564.37841796875,6.189935207366941,689.960405018158,44531,11
44532,2018-11-20 05:30:00,635.815612792968,6.371420860290519,756.606691403414,44532,11
44533,2018-11-20 05:40:00,681.45849609375,6.4064979553222585,769.8991262898378,44533,11
44534,2018-11-20 05:50:00,748.8115844726559,6.43253898620605,779.854331691082,44534,11
44535,2018-11-20 06:00:00,1023.125,7.277245044708249,1145.84345350291,44535,11
44536,2018-11-20 06:10:00,754.916870117187,6.555560111999509,827.8958123215781,44536,11
44537,2018-11-20 06:20:00,810.304382324218,6.78517723083496,922.145574298141,44537,11
44538,2018-11-20 06:30:00,995.108581542968,7.08910417556762,1056.60970940521,44538,11
44539,2018-11-20 06:40:00,964.655517578125,7.0283241271972585,1028.7903922176,44539,11
44540,2018-11-20 06:50:00,854.401489257812,6.8947639465332005,969.310356297054,44540,11
44541,2018-11-20 07:00:00,996.8364868164059,7.13859987258911,1079.62148681938,44541,11
44542,2018-11-20 07:10:00,1103.40405273437,7.299437046051018,1156.69102723259,44542,11
44543,2018-11-20 07:20:00,1209.375,7.40615177154541,1209.84432149491,44543,11
44544,2018-11-20 07:30:00,1448.00598144531,7.750584125518791,1390.5665078043698,44544,11
44545,2018-11-20 07:40:00,1068.35498046875,6.89773082733154,970.607518698481,44545,11
44546,2018-11-20 07:50:00,1160.26501464843,7.25007009506225,1132.6547352806501,44546,11
44547,2018-11-20 08:00:00,1143.52294921875,7.30445384979248,1159.15296028162,44547,11
44548,2018-11-20 08:10:00,1179.998046875,7.29558515548706,1154.80319209385,44548,11
44549,2018-11-20 08:20:00,991.919616699218,6.86469411849975,956.2241424874808,44549,11
44550,2018-11-20 08:30:00,853.3427734375,6.52966022491455,817.641761509267,44550,11
44551,2018-11-20 08:40:00,1116.74194335937,7.2811150550842205,1147.73011780533,44551,11
44552,2018-11-20 08:50:00,841.896423339843,6.39775609970092,766.5738466886729,44552,11
44553,2018-11-20 09:00:00,1028.21398925781,7.0155930519104,1023.02368605474,44553,11
44554,2018-11-20 09:10:00,868.96728515625,6.44016599655151,782.7841353348558,44554,11
44555,2018-11-20 09:20:00,619.6162109375,5.980218887329099,618.342416642847,44555,11
44556,2018-11-20 09:30:00,409.422607421875,5.06364917755126,351.791414593534,44556,11
44557,2018-11-20 09:40:00,657.170227050781,6.179315090179441,686.170104211659,44557,11
44558,2018-11-20 09:50:00,832.9041137695309,6.689586162567131,882.1699392762172,44558,11
44559,2018-11-20 10:00:00,693.490173339843,6.0502061843872,641.0559430430291,44559,11
44560,2018-11-20 10:10:00,882.6887817382809,6.797313213348381,927.2977463165421,44560,11
44561,2018-11-20 10:20:00,817.228881835937,6.683165073394768,879.5228506041658,44561,11
44562,2018-11-20 10:30:00,989.4827270507808,7.315503120422361,1164.5879199466099,44562,11
44563,2018-11-20 10:40:00,852.004028320312,6.7281150817871,898.15388012011,44563,11
44564,2018-11-20 10:50:00,945.174987792968,6.8765082359313885,961.352419361337,44564,11
44565,2018-11-20 11:00:00,710.475219726562,6.3387489318847585,744.346153945822,44565,11
44566,2018-11-20 11:10:00,853.4561157226559,6.63855123519897,861.261879626761,44566,11
44567,2018-11-20 11:20:00,1131.23498535156,7.19747686386108,1107.42151375731,44567,11
44568,2018-11-20 11:30:00,911.855590820312,6.72094297409057,895.165407331673,44568,11
44569,2018-11-20 11:40:00,557.1456298828119,5.83308982849121,570.120005797658,44569,11
44570,2018-11-20 11:50:00,868.5286254882809,6.86588716506958,956.7412498716541,44570,11
44571,2018-11-20 12:00:00,748.410583496093,6.4338059425354,780.340571868253,44571,11
44572,2018-11-20 12:10:00,934.1270141601559,6.87449216842651,960.4760813632539,44572,11
44573,2018-11-20 12:20:00,1034.03698730468,6.95316410064697,995.043555050219,44573,11
44574,2018-11-20 12:30:00,1417.04504394531,7.78200101852416,1407.73910841546,44574,11
44575,2018-11-20 12:40:00,1123.14794921875,7.212578773498532,1114.62809496371,44575,11
44576,2018-11-20 12:50:00,1246.75402832031,7.75197410583496,1391.3237878271302,44576,11
44577,2018-11-20 13:00:00,1004.82702636718,7.0703220367431605,1047.96181970658,44577,11
44578,2018-11-20 13:10:00,983.9622192382808,6.825870037078849,939.490464725079,44578,11
44579,2018-11-20 13:20:00,1077.09594726562,7.15588903427124,1087.73644686507,44579,11
44580,2018-11-20 13:30:00,1043.98205566406,7.139398097991941,1079.99526629947,44580,11
44581,2018-11-20 13:40:00,2071.04711914062,9.576727867126461,2499.55560057113,44581,11
44582,2018-11-20 13:50:00,3042.1240234375,11.5966796875,3444.8020690614007,44582,11
44583,2018-11-20 14:00:00,2968.24609375,11.2423095703125,3351.44957047802,44583,11
44584,2018-11-20 14:10:00,2926.19702148437,11.280170440673801,3362.64565048463,44584,11
44585,2018-11-20 14:20:00,3319.26708984375,12.273500442504801,3558.2174644688703,44585,11
44586,2018-11-20 14:30:00,3268.83203125,11.7957496643066,3486.55389632435,44586,11
44587,2018-11-20 14:40:00,3050.67993164062,11.310400009155199,3371.36906077467,44587,11
44588,2018-11-20 14:50:00,2893.60400390625,11.112090110778801,3310.59831150049,44588,11
44589,2018-11-20 15:00:00,2982.09301757812,11.3232803344726,3375.0281757712605,44589,11
44590,2018-11-20 15:10:00,2797.95190429687,10.9774103164672,3264.40786043492,44590,11
44591,2018-11-20 15:20:00,2531.2470703125,10.614800453186001,3118.7830264931604,44591,11
44592,2018-11-20 15:30:00,2911.916015625,11.319080352783198,3373.83880079086,44592,11
44593,2018-11-20 15:40:00,2834.65209960937,11.3198499679565,3374.05701826735,44593,11
44594,2018-11-20 15:50:00,2636.97412109375,10.831000328063901,3209.45197636638,44594,11
44595,2018-11-20 16:00:00,2298.22705078125,10.010459899902301,2798.5885424262897,44595,11
44596,2018-11-20 16:10:00,2318.23291015625,10.1821603775024,2900.2613281713,44596,11
44597,2018-11-20 16:20:00,2345.43994140625,10.183639526367099,2901.098613928089,44597,11
44598,2018-11-20 16:30:00,2145.73706054687,9.82437229156494,2677.97653968924,44598,11
44599,2018-11-20 16:40:00,2287.68505859375,10.0460901260375,2820.42818539081,44599,11
44600,2018-11-20 16:50:00,2374.57788085937,10.153770446777301,2884.0651097406103,44600,11
44601,2018-11-20 17:00:00,2162.34912109375,9.75646591186523,2631.14116251047,44601,11
44602,2018-11-20 17:10:00,1954.46594238281,9.40710353851318,2409.03019611919,44602,11
44603,2018-11-20 17:20:00,1839.16796875,9.13351821899414,2230.3961704369603,44603,11
44604,2018-11-20 17:30:00,1875.9260253906202,9.21700382232666,2284.7178460214604,44604,11
44605,2018-11-20 17:40:00,2307.13500976562,10.0950002670288,2849.7699055874,44605,11
44606,2018-11-20 17:50:00,2641.3779296875,10.672590255737301,3144.16596980443,44606,11
44607,2018-11-20 18:00:00,2703.39501953125,10.845640182495101,3215.1756654793603,44607,11
44608,2018-11-20 18:10:00,2585.76904296875,10.6393404006958,3129.66601621036,44608,11
44609,2018-11-20 18:20:00,2587.40307617187,10.6097803115844,3116.53758903811,44609,11
44610,2018-11-20 18:30:00,2593.77197265625,10.693300247192301,3153.05568407568,44610,11
44611,2018-11-20 18:40:00,2246.56298828125,10.219140052795401,2921.00053593062,44611,11
44612,2018-11-20 18:50:00,2009.8020019531202,9.49374675750732,2465.88268485727,44612,11
44613,2018-11-20 19:00:00,2239.35205078125,9.99622631072998,2789.7533926410997,44613,11
44614,2018-11-20 19:10:00,2446.06591796875,10.3594303131103,2996.0812002552602,44614,11
44615,2018-11-20 19:20:00,2734.35693359375,10.937990188598599,3250.1061060744396,44615,11
44616,2018-11-20 19:30:00,2477.01293945312,10.5293397903442,3079.6624113153107,44616,11
44617,2018-11-20 19:40:00,2543.51391601562,10.737190246582001,3171.53948386262,44617,11
44618,2018-11-20 19:50:00,2589.73095703125,10.621569633483801,3121.80049185836,44618,11
44619,2018-11-20 20:00:00,2739.76708984375,10.9826498031616,3266.28174185996,44619,11
44620,2018-11-20 20:10:00,2871.64404296875,11.1917104721069,3336.0112793112207,44620,11
44621,2018-11-20 20:20:00,2708.39404296875,10.9583301544189,3257.5304443811306,44621,11
44622,2018-11-20 20:30:00,2460.67700195312,10.440710067749,3037.04533256976,44622,11
44623,2018-11-20 20:40:00,2229.01708984375,9.975984573364249,2777.0792510822803,44623,11
44624,2018-11-20 20:50:00,2135.80908203125,9.56504154205322,2490.60674716776,44624,11
44625,2018-11-20 21:00:00,2343.86596679687,10.2911596298217,2960.24719820994,44625,11
44626,2018-11-20 21:10:00,2421.65893554687,10.5682401657104,3097.70642832502,44626,11
44627,2018-11-20 21:20:00,2099.8798828125,10.024459838867099,2807.21690606969,44627,11
44628,2018-11-20 21:30:00,2148.65307617187,9.77876663208007,2646.69254284922,44628,11
44629,2018-11-20 21:40:00,2158.67993164062,9.659639358520499,2561.65259472305,44629,11
44630,2018-11-20 21:50:00,2490.2880859375,10.253979682922301,2940.17351564092,44630,11
44631,2018-11-20 22:00:00,2236.08911132812,9.543261528015133,2473.79760941053,44631,11
44632,2018-11-20 22:10:00,2479.30908203125,10.330470085144,2981.0414177846696,44632,11
44633,2018-11-20 22:20:00,2425.31005859375,10.282250404357901,2955.47323311663,44633,11
44634,2018-11-20 22:30:00,2561.82299804687,10.534170150756802,3081.9246945015,44634,11
44635,2018-11-20 22:40:00,2555.455078125,10.432600021362301,3033.03961900226,44635,11
44636,2018-11-20 22:50:00,2742.78002929687,10.9850902557373,3267.15240611833,44636,11
44637,2018-11-20 23:00:00,2859.90698242187,11.2884798049926,3365.06252349027,44637,11
44638,2018-11-20 23:10:00,2831.23193359375,11.321209907531701,3374.442316931569,44638,11
44639,2018-11-20 23:20:00,2613.98095703125,11.047550201416,3288.97336990861,44639,11
44640,2018-11-20 23:30:00,2491.80810546875,10.553560256957999,3090.94393333641,44640,11
44641,2018-11-20 23:40:00,2707.58203125,10.8682603836059,3223.91841372835,44641,11
44642,2018-11-20 23:50:00,2592.54907226562,10.6192798614501,3120.781112509389,44642,11
44643,2018-11-21 00:00:00,2396.06298828125,10.240870475769,2933.00065820304,44643,11
44644,2018-11-21 00:10:00,2341.92309570312,10.077730178832999,2839.4930946987,44644,11
44645,2018-11-21 00:20:00,1971.89794921875,9.39988803863525,2404.2997670139002,44645,11
44646,2018-11-21 00:30:00,1675.81604003906,8.763917922973631,1993.0529133230107,44646,11
44647,2018-11-21 00:40:00,1815.63000488281,9.0858154296875,2199.45338312685,44647,11
44648,2018-11-21 00:50:00,1610.8620605468698,8.69365501403808,1948.68570265664,44648,11
